empno	ename	job	mgr	hiredate	sal	comm	deptno
7369	SMITH	CLERK	7902	13/6/1993	800	0	20
7499	ALLEN	SALESMAN	7698	15/8/1998	1600	300	30
7521	WARD	SALESMAN	7698	26/3/1996	1250	500	30
7566	JONES	MANAGER	7839	31/10/1995	2975		20
7698	BLAKE	MANAGER	7839	11/6/1992	2850		30
7782	CLARK	MANAGER	7839	14/5/1993	2450		10
7788	SCOTT	ANALYST	7566	5/3/1996	3000		20
7839	KING	PRESIDENT		9/6/1990	5000	0	10
7844	TURNER	SALESMAN	7698	4/6/1995	1500	0	30
7876	ADAMS	CLERK	7788	4/6/1999	1100		20
7900	JAMES	CLERK	7698	23/6/2000	950		30
7934	MILLER	CLERK	7782	21/1/2000	1300		10
7902	FORD	ANALYST	7566	5/12/1997	3000		20
7654	MARTIN	SALESMAN	7698	5/12/1998	1250	1400	30
